,TOTAL_BILL,TIP,SEX,SMOKER,DAY,TIME,SIZE,CLUSTER,ANOMALY
71,17.07,3.0,Female,No,Sat,Dinner,3,0,1
72,26.86,3.14,Female,Yes,Sat,Dinner,2,2,1
73,25.28,5.0,Female,Yes,Sat,Dinner,2,2,1
74,14.73,2.2,Female,No,Sat,Dinner,2,0,1
75,10.51,1.25,Male,No,Sat,Dinner,2,0,1
76,17.92,3.08,Male,Yes,Sat,Dinner,2,0,1
77,27.2,4.0,Male,No,Thur,Lunch,4,2,-1
78,22.76,3.0,Male,No,Thur,Lunch,2,2,1
79,17.29,2.71,Male,No,Thur,Lunch,2,0,1
80,19.44,3.0,Male,Yes,Thur,Lunch,2,2,1
81,16.66,3.4,Male,No,Thur,Lunch,2,0,1
82,10.07,1.83,Female,No,Thur,Lunch,1,0,1
83,32.68,5.0,Male,Yes,Thur,Lunch,2,1,1
84,15.98,2.03,Male,No,Thur,Lunch,2,0,1
85,34.83,5.17,Female,No,Thur,Lunch,4,1,-1
86,13.03,2.0,Male,No,Thur,Lunch,2,0,1
87,18.28,4.0,Male,No,Thur,Lunch,2,0,1
88,24.71,5.85,Male,No,Thur,Lunch,2,2,1
89,21.16,3.0,Male,No,Thur,Lunch,2,2,1
90,28.97,3.0,Male,Yes,Fri,Dinner,2,2,1
91,22.49,3.5,Male,No,Fri,Dinner,2,2,1
92,5.75,1.0,Female,Yes,Fri,Dinner,2,0,1
93,16.32,4.3,Female,Yes,Fri,Dinner,2,0,1
94,22.75,3.25,Female,No,Fri,Dinner,2,2,1
95,40.17,4.73,Male,Yes,Fri,Dinner,4,1,1
96,27.28,4.0,Male,Yes,Fri,Dinner,2,2,1
97,12.03,1.5,Male,Yes,Fri,Dinner,2,0,1
98,21.01,3.0,Male,Yes,Fri,Dinner,2,2,1
99,12.46,1.5,Male,No,Fri,Dinner,2,0,1
100,11.35,2.5,Female,Yes,Fri,Dinner,2,0,1
101,15.38,3.0,Female,Yes,Fri,Dinner,2,0,1
102,44.3,2.5,Female,Yes,Sat,Dinner,3,1,-1
103,22.42,3.48,Female,Yes,Sat,Dinner,2,2,1
104,20.92,4.08,Female,No,Sat,Dinner,2,2,1
105,15.36,1.64,Male,Yes,Sat,Dinner,2,0,1
106,20.49,4.06,Male,Yes,Sat,Dinner,2,2,1
107,25.21,4.29,Male,Yes,Sat,Dinner,2,2,1
108,18.24,3.76,Male,No,Sat,Dinner,2,0,1
109,14.31,4.0,Female,Yes,Sat,Dinner,2,0,1
110,14.0,3.0,Male,No,Sat,Dinner,2,0,1
111,7.25,1.0,Female,No,Sat,Dinner,1,0,1
112,38.07,4.0,Male,No,Sun,Dinner,3,1,1
113,23.95,2.55,Male,No,Sun,Dinner,2,2,1
114,25.71,4.0,Female,No,Sun,Dinner,3,2,1
115,17.31,3.5,Female,No,Sun,Dinner,2,0,1
116,29.93,5.07,Male,No,Sun,Dinner,4,2,1
117,10.65,1.5,Female,No,Thur,Lunch,2,0,1
118,12.43,1.8,Female,No,Thur,Lunch,2,0,1
119,24.08,2.92,Female,No,Thur,Lunch,4,2,-1
120,11.69,2.31,Male,No,Thur,Lunch,2,0,1
121,13.42,1.68,Female,No,Thur,Lunch,2,0,1
122,14.26,2.5,Male,No,Thur,Lunch,2,0,1
123,15.95,2.0,Male,No,Thur,Lunch,2,0,1
124,12.48,2.52,Female,No,Thur,Lunch,2,0,1
125,29.8,4.2,Female,No,Thur,Lunch,6,2,-1
126,8.52,1.48,Male,No,Thur,Lunch,2,0,1
127,14.52,2.0,Female,No,Thur,Lunch,2,0,1
128,11.38,2.0,Female,No,Thur,Lunch,2,0,1
129,22.82,2.18,Male,No,Thur,Lunch,3,2,-1
130,19.08,1.5,Male,No,Thur,Lunch,2,2,1
131,20.27,2.83,Female,No,Thur,Lunch,2,2,1
132,11.17,1.5,Female,No,Thur,Lunch,2,0,1
133,12.26,2.0,Female,No,Thur,Lunch,2,0,1
134,18.26,3.25,Female,No,Thur,Lunch,2,0,1
135,8.51,1.25,Female,No,Thur,Lunch,2,0,1
136,10.33,2.0,Female,No,Thur,Lunch,2,0,1
137,14.15,2.0,Female,No,Thur,Lunch,2,0,1
138,16.0,2.0,Male,Yes,Thur,Lunch,2,0,1
139,13.16,2.75,Female,No,Thur,Lunch,2,0,1
140,17.47,3.5,Female,No,Thur,Lunch,2,0,1
141,34.3,6.7,Male,No,Thur,Lunch,6,1,-1
142,41.19,5.0,Male,No,Thur,Lunch,5,1,-1
143,27.05,5.0,Female,No,Thur,Lunch,6,2,-1
144,16.43,2.3,Female,No,Thur,Lunch,2,0,1
145,8.35,1.5,Female,No,Thur,Lunch,2,0,1
146,18.64,1.36,Female,No,Thur,Lunch,3,0,-1
147,11.87,1.63,Female,No,Thur,Lunch,2,0,1
148,9.78,1.73,Male,No,Thur,Lunch,2,0,1
149,7.51,2.0,Male,No,Thur,Lunch,2,0,1
150,14.07,2.5,Male,No,Sun,Dinner,2,0,1
151,13.13,2.0,Male,No,Sun,Dinner,2,0,1
152,17.26,2.74,Male,No,Sun,Dinner,3,0,1
153,24.55,2.0,Male,No,Sun,Dinner,4,2,1
154,19.77,2.0,Male,No,Sun,Dinner,4,2,1
155,29.85,5.14,Female,No,Sun,Dinner,5,2,-1
156,48.17,5.0,Male,No,Sun,Dinner,6,1,-1
157,25.0,3.75,Female,No,Sun,Dinner,4,2,1
158,13.39,2.61,Female,No,Sun,Dinner,2,0,1
159,16.49,2.0,Male,No,Sun,Dinner,4,0,1
160,21.5,3.5,Male,No,Sun,Dinner,4,2,1
161,12.66,2.5,Male,No,Sun,Dinner,2,0,1
162,16.21,2.0,Female,No,Sun,Dinner,3,0,1
163,13.81,2.0,Male,No,Sun,Dinner,2,0,1
164,17.51,3.0,Female,Yes,Sun,Dinner,2,0,1
165,24.52,3.48,Male,No,Sun,Dinner,3,2,1
166,20.76,2.24,Male,No,Sun,Dinner,2,2,1
167,31.71,4.5,Male,No,Sun,Dinner,4,1,1
168,10.59,1.61,Female,Yes,Sat,Dinner,2,0,1
169,10.63,2.0,Female,Yes,Sat,Dinner,2,0,1
170,50.81,10.0,Male,Yes,Sat,Dinner,3,1,-1
171,15.81,3.16,Male,Yes,Sat,Dinner,2,0,1
172,7.25,5.15,Male,Yes,Sun,Dinner,2,0,1
173,31.85,3.18,Male,Yes,Sun,Dinner,2,1,1
174,16.82,4.0,Male,Yes,Sun,Dinner,2,0,1
175,32.9,3.11,Male,Yes,Sun,Dinner,2,1,1
176,17.89,2.0,Male,Yes,Sun,Dinner,2,0,1
177,14.48,2.0,Male,Yes,Sun,Dinner,2,0,1
178,9.6,4.0,Female,Yes,Sun,Dinner,2,0,1
179,34.63,3.55,Male,Yes,Sun,Dinner,2,1,1
180,34.65,3.68,Male,Yes,Sun,Dinner,4,1,1
181,23.33,5.65,Male,Yes,Sun,Dinner,2,2,1
182,45.35,3.5,Male,Yes,Sun,Dinner,3,1,-1
183,23.17,6.5,Male,Yes,Sun,Dinner,4,2,1
184,40.55,3.0,Male,Yes,Sun,Dinner,2,1,1
185,20.69,5.0,Male,No,Sun,Dinner,5,2,-1
186,20.9,3.5,Female,Yes,Sun,Dinner,3,2,1
187,30.46,2.0,Male,Yes,Sun,Dinner,5,2,-1
188,18.15,3.5,Female,Yes,Sun,Dinner,3,0,1
189,23.1,4.0,Male,Yes,Sun,Dinner,3,2,1
190,15.69,1.5,Male,Yes,Sun,Dinner,2,0,1
191,19.81,4.19,Female,Yes,Thur,Lunch,2,2,1
192,28.44,2.56,Male,Yes,Thur,Lunch,2,2,1
193,15.48,2.02,Male,Yes,Thur,Lunch,2,0,1
194,16.58,4.0,Male,Yes,Thur,Lunch,2,0,1
195,7.56,1.44,Male,No,Thur,Lunch,2,0,1
196,10.34,2.0,Male,Yes,Thur,Lunch,2,0,1
197,43.11,5.0,Female,Yes,Thur,Lunch,4,1,-1
198,13.0,2.0,Female,Yes,Thur,Lunch,2,0,1
199,13.51,2.0,Male,Yes,Thur,Lunch,2,0,1
200,18.71,4.0,Male,Yes,Thur,Lunch,3,2,-1
201,12.74,2.01,Female,Yes,Thur,Lunch,2,0,1
202,13.0,2.0,Female,Yes,Thur,Lunch,2,0,1
203,16.4,2.5,Female,Yes,Thur,Lunch,2,0,1
204,20.53,4.0,Male,Yes,Thur,Lunch,4,2,-1
205,16.47,3.23,Female,Yes,Thur,Lunch,3,0,-1
206,26.59,3.41,Male,Yes,Sat,Dinner,3,2,1
207,38.73,3.0,Male,Yes,Sat,Dinner,4,1,1
208,24.27,2.03,Male,Yes,Sat,Dinner,2,2,1
209,12.76,2.23,Female,Yes,Sat,Dinner,2,0,1
210,30.06,2.0,Male,Yes,Sat,Dinner,3,2,1
211,25.89,5.16,Male,Yes,Sat,Dinner,4,2,1
212,48.33,9.0,Male,No,Sat,Dinner,4,1,-1
213,13.27,2.5,Female,Yes,Sat,Dinner,2,0,1
214,28.17,6.5,Female,Yes,Sat,Dinner,3,2,-1
215,12.9,1.1,Female,Yes,Sat,Dinner,2,0,1
216,28.15,3.0,Male,Yes,Sat,Dinner,5,2,-1
217,11.59,1.5,Male,Yes,Sat,Dinner,2,0,1
218,7.74,1.44,Male,Yes,Sat,Dinner,2,0,1
219,30.14,3.09,Female,Yes,Sat,Dinner,4,2,-1
220,12.16,2.2,Male,Yes,Fri,Lunch,2,0,1
221,13.42,3.48,Female,Yes,Fri,Lunch,2,0,1
222,8.58,1.92,Male,Yes,Fri,Lunch,1,0,1
223,15.98,3.0,Female,No,Fri,Lunch,3,0,-1
224,13.42,1.58,Male,Yes,Fri,Lunch,2,0,1
225,16.27,2.5,Female,Yes,Fri,Lunch,2,0,1
226,10.09,2.0,Female,Yes,Fri,Lunch,2,0,1
227,20.45,3.0,Male,No,Sat,Dinner,4,2,1
228,13.28,2.72,Male,No,Sat,Dinner,2,0,1
229,22.12,2.88,Female,Yes,Sat,Dinner,2,2,1
230,24.01,2.0,Male,Yes,Sat,Dinner,4,2,1
231,15.69,3.0,Male,Yes,Sat,Dinner,3,0,1
232,11.61,3.39,Male,No,Sat,Dinner,2,0,1
233,10.77,1.47,Male,No,Sat,Dinner,2,0,1
234,15.53,3.0,Male,Yes,Sat,Dinner,2,0,1
235,10.07,1.25,Male,No,Sat,Dinner,2,0,1
236,12.6,1.0,Male,Yes,Sat,Dinner,2,0,1
237,32.83,1.17,Male,Yes,Sat,Dinner,2,1,1
238,35.83,4.67,Female,No,Sat,Dinner,3,1,1
239,29.03,5.92,Male,No,Sat,Dinner,3,2,1
240,27.18,2.0,Female,Yes,Sat,Dinner,2,2,1
241,22.67,2.0,Male,Yes,Sat,Dinner,2,2,1
242,17.82,1.75,Male,No,Sat,Dinner,2,0,1
243,18.78,3.0,Female,No,Thur,Dinner,2,0,1
